Affenpinscher
Afghan Hound
Airedale Terrier
Akita
Alaskan Malamute
Alpine Dachsbracke
American Akita
American Cocker Spaniel
American Foxhound
American Staffordshire Terrier
American Water Spaniel
Appenzell Cattle Dog
Ariege Pointing Dog
Ariegeois
Artois Hound
Atlas Mountain Dog (Aidi)
Australian Cattle Dog
Australian Kelpie
Australian Shepherd
Australian Silky Terrier
Australian Stumpy Tail Cattle Dog
Australian Terrier
Austrian  Pinscher
Austrian Black And Tan Hound
Auvergne Pointer
Azawakh
Basenji
Basset Fauve De Bretagne
Basset Hound
Bavarian Mountain Scent Hound
Beagle
Beagle Harrier
Bearded Collie
Bedlington Terrier
Belgian Shepherd Dog
Bergamasco Shepherd Dog
Berger De Beauce
Bernese Mountain Dog
Bichon Frise
Billy
Black And Tan Coonhound
Bloodhound
Blue Gascony Basset
Blue Gascony Griffon
Blue Picardy Spaniel
Bohemian Wire-Haired Pointing Griffon
Bolognese
Border Collie
Border Terrier
Borzoi - Russian Hunting Sighthound
Bosnian And Herzegovinian - Croatian Shepherd Dog
Bosnian Broken-Haired Hound - Called Barak
Boston Terrier
Bourbonnais Pointing Dog
Bouvier Des Ardennes
Bouvier Des Flandres
Boxer
Brazilian Terrier
Briard
Briquet Griffon Vendeen
Brittany Spaniel
Broholmer
Bull Terrier
Bulldog
Bullmastiff
Burgos Pointing Dog
Cairn Terrier
Canaan Dog
Canadian Eskimo Dog
Canarian Warren Hound
Castro Laboreiro Dog
Catalan Sheepdog
Caucasian Shepherd Dog
Cavalier King Charles Spaniel
Central Asia Shepherd Dog
Cesky Terrier
Chesapeake Bay Retriever
Chihuahua
Chinese Crested Dog
Chow Chow
Cimarr√Ìn Uruguayo
Cirneco Dell'Etna
Clumber Spaniel
Coarse-Haired Styrian Hound
Collie Rough
Collie Smooth
Continental Toy Spaniel
Coton De Tulear
Croatian Shepherd Dog
Curly Coated Retriever
Czechoslovakian Wolfdog
Dachshund
Dalmatian
Dandie Dinmont Terrier
Danish-Swedish Farmdog
Deerhound
Deutsch Langhaar
Deutsch Stichelhaar
Dobermann
Dogo Argentino
Dogo Canario
Dogue De Bordeaux
Drentsche Partridge Dog
Drever
Dutch Schapendoes
Dutch Shepherd Dog
Dutch Smoushond
East Siberian Laika
English Cocker Spaniel
English Foxhound
English Pointer
English Setter
English Springer Spaniel
English Toy Terrier (Black &Tan)
Entlebuch Cattle Dog
Estrela Mountain Dog
Eurasian
Fawn Brittany Griffon
Field Spaniel
Fila Brasileiro
Finnish Hound
Finnish Lapponian Dog
Finnish Spitz
Flat Coated Retriever
Fox Terrier (Smooth)
Fox Terrier (Wire)
French Bulldog
French Pointing Dog - Gascogne Type
French Pointing Dog - Pyrenean Type
French Spaniel
French Tricolour Hound
French Water Dog
French White & Black Hound
French White And Orange Hound
Frisian Water Dog
Gascon Saintongeois
German Hound
German Hunting Terrier
German Pinscher
German Shepherd Dog
German Short- Haired Pointing Dog
German Spaniel
German Spitz
German Wire- Haired Pointing Dog
Giant Schnauzer
Golden Retriever
Gordon Setter
Grand Basset Griffon Vendeen
Grand Griffon Vendeen
Great Anglo-French Tricolour Hound
Great Anglo-French White & Orange Hound
Great Anglo-French White And Black Hound
Great Dane
Great Gascony Blue
Great Swiss Mountain Dog
Greenland Dog
Greyhound
Griffon Belge
Griffon Bruxellois
Griffon Nivernais
Halden Hound
Hamiltonst√Ñvare
Hanoverian Scent Hound
Harrier
Havanese
Hellenic Hound
Hokkaido
Hovawart
Hungarian Greyhound
Hungarian Hound - Transylvanian Scent Hound
Hungarian Short-Haired Pointer (Vizsla)
Hungarian Wire-Haired Pointer
Hygen Hound
Ibizan Podenco
Icelandic Sheepdog
Irish Glen Of Imaal Terrier
Irish Red And White Setter
Irish Red Setter
Irish Soft Coated Wheaten Terrier
Irish Terrier
Irish Water Spaniel
Irish Wolfhound
Istrian Short-Haired Hound
Istrian Wire-Haired Hound
Italian Cane Corso
Italian Pointing Dog
Italian Rough-Haired Segugio
Italian Short-Haired Segugio
Italian Sighthound
Italian Spinone
Italian Volpino
J√Ñmthund
Jack Russell Terrier
Japanese Chin
Japanese Spitz
Japanese Terrier
Kai
Kangal Shepherd Dog
Karelian Bear Dog
Karst Shepherd Dog
Kerry Blue Terrier
King Charles Spaniel
Kishu
Kleiner M√Únsterl√Ñnder
Komondor
Korea Jindo Dog
Kromfohrl√Ñnder
Kuvasz
Labrador Retriever
Lakeland Terrier
Lancashire Heeler
Landseer (European Continental Type)
Lapponian Herder
Large Munsterlander
Leonberger
Lhasa Apso
Little Lion Dog
Long-Haired Pyrenean Sheepdog
Majorca Mastiff
Majorca Shepherd Dog
Maltese
Manchester Terrier
Maremma And The Abruzzes Sheepdog
Mastiff
Medium-Sized Anglo-French Hound
Miniature Bull Terrier
Miniature Pinscher
Miniature Schnauzer
Montenegrin Mountain Hound
Mudi
Neapolitan Mastiff
Nederlandse Kooikerhondje
Newfoundland
Norfolk Terrier
Norman Artesien Basset
Norrbottenspitz
Norwegian Buhund
Norwegian Elkhound Black
Norwegian Elkhound Grey
Norwegian Hound
Norwegian Lundehund
Norwich Terrier
Nova Scotia Duck Tolling Retriever
Old Danish Pointing Dog
Old English Sheepdog
Otterhound
Parson Russell Terrier
Pekingese
Peruvian Hairless Dog
Petit Basset Griffon Vendeen
Petit Braban√Áon
Pharaoh Hound
Picardy Sheepdog
Picardy Spaniel
Poitevin
Polish Greyhound
Polish Hound
Polish Hunting Dog
Polish Lowland Sheepdog
Pont-Audemer Spaniel
Poodle
Porcelaine
Portuguese Pointing Dog
Portuguese Sheepdog
Portuguese Warren Hound-Portuguese Podengo
Portuguese Water Dog
Posavatz Hound
Pudelpointer
Pug
Puli
Pumi
Pyrenean Mastiff
Pyrenean Mountain Dog
Pyrenean Sheepdog - Smooth Faced
Rafeiro Of Alentejo
Rhodesian Ridgeback
Romagna Water Dog
Romanian Bucovina Shepherd
Romanian Carpathian Shepherd Dog
Romanian Mioritic Shepherd Dog
Rottweiler
Russian Black Terrier
Russian Toy
Russian-European Laika
Saarloos Wolfhond
Saint Germain Pointer
Saint Miguel Cattle Dog
Saluki
Samoyed
Schillerst√Ñvare
Schipperke
Schnauzer
Scottish Terrier
Sealyham Terrier
Segugio Maremmano
Serbian Hound
Serbian Tricolour Hound
Shar Pei
Shetland Sheepdog
Shiba
Shih Tzu
Shikoku
Siberian Husky
Skye Terrier
Sloughi
Slovakian Chuvach
Slovakian Hound
Sm√Ölandsst√Ñvare
Small Blue Gascony
Small Swiss Hound
South Russian Shepherd Dog
Spanish Greyhound
Spanish Hound
Spanish Mastiff
Spanish Water Dog
St. Bernard
Stabijhoun
Staffordshire Bull Terrier
Sussex Spaniel
Swedish Lapphund
Swedish Vallhund
Swiss Hound
Taiwan Dog
Tatra Shepherd Dog
Thai Bangkaew Dog
Thai Ridgeback Dog
Tibetan Mastiff
Tibetan Spaniel
Tibetan Terrier
Tosa
Tyrolean Hound
Weimaraner
Welsh Corgi (Cardigan)
Welsh Corgi (Pembroke)
Welsh Springer Spaniel
Welsh Terrier
West Highland White Terrier
West Siberian Laika
Westphalian Dachsbracke
Whippet
White Swiss Shepherd Dog
Wire-Haired Pointing Griffon Korthals
Wirehaired Slovakian Pointer
Xoloitzcuintle
Yorkshire Terrier
Yugoslavian Shepherd Dog - Sharplanina
Mixed/Unknown
